video_path,label_name,group_id,label
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_10/v_diving_10_02.mpg,diving,10,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_10/v_diving_10_01.mpg,diving,10,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_10/v_diving_10_06.mpg,diving,10,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_10/v_diving_10_04.mpg,diving,10,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_10/v_diving_10_07.mpg,diving,10,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_10/v_diving_10_05.mpg,diving,10,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_10/v_diving_10_03.mpg,diving,10,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_01/v_diving_01_06.mpg,diving,1,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_01/v_diving_01_04.mpg,diving,1,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_01/v_diving_01_01.mpg,diving,1,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_01/v_diving_01_07.mpg,diving,1,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_01/v_diving_01_05.mpg,diving,1,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_01/v_diving_01_02.mpg,diving,1,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_05/v_diving_05_02.mpg,diving,5,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_05/v_diving_05_04.mpg,diving,5,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_05/v_diving_05_06.mpg,diving,5,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_05/v_diving_05_03.mpg,diving,5,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_05/v_diving_05_05.mpg,diving,5,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_14/v_diving_14_02.mpg,diving,14,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_14/v_diving_14_04.mpg,diving,14,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_14/v_diving_14_01.mpg,diving,14,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_02/v_diving_02_02.mpg,diving,2,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_02/v_diving_02_05.mpg,diving,2,2
/home/sanjita/projects/me5920/data/UCF11_updated_mpg/diving/v_diving_02/v_diving_02_04.mpg,diving,2,2
